Algorithm,NetSize,MaxPar,Chunk count,Population,BadDevices,Experiment,Completion time
simu,101,17,10,0,0,10,3269
simu,101,17,10,0,0,1,3270
simu,101,17,10,0,0,2,3317
simu,101,17,10,0,0,3,3316
simu,101,17,10,0,0,4,3318
simu,101,17,10,0,0,5,3315
simu,101,17,10,0,0,6,3268
simu,101,17,10,0,0,7,3316
simu,101,17,10,0,0,8,3269
simu,101,17,10,0,0,9,3270
simu,101,17,10,0,10,10,3316
simu,101,17,10,0,10,1,3322
simu,101,17,10,0,10,2,3316
simu,101,17,10,0,10,3,3323
simu,101,17,10,0,10,4,3315
simu,101,17,10,0,10,5,3323
simu,101,17,10,0,10,6,3313
simu,101,17,10,0,10,7,3323
simu,101,17,10,0,10,8,3320
simu,101,17,10,0,10,9,3321
simu,101,17,10,0,20,10,3319
simu,101,17,10,0,20,1,3322
simu,101,17,10,0,20,2,3316
simu,101,17,10,0,20,3,3322
simu,101,17,10,0,20,4,3319
simu,101,17,10,0,20,5,3315
simu,101,17,10,0,20,6,3316
simu,101,17,10,0,20,7,3319
simu,101,17,10,0,20,8,3317
simu,101,17,10,0,20,9,3318
simu,101,17,10,10,0,10,1397
simu,101,17,10,10,0,1,1385
simu,101,17,10,10,0,2,1383
simu,101,17,10,10,0,3,1392
simu,101,17,10,10,0,4,1396
simu,101,17,10,10,0,5,1361
simu,101,17,10,10,0,6,1381
simu,101,17,10,10,0,7,1401
simu,101,17,10,10,0,8,1391
simu,101,17,10,10,0,9,1389
simu,101,17,10,10,10,10,1362
simu,101,17,10,10,10,1,1374
simu,101,17,10,10,10,2,1350
simu,101,17,10,10,10,3,1364
simu,101,17,10,10,10,4,1333
simu,101,17,10,10,10,5,1354
simu,101,17,10,10,10,6,1312
simu,101,17,10,10,10,7,1348
simu,101,17,10,10,10,8,1322
simu,101,17,10,10,10,9,1370
simu,101,17,10,10,20,10,1348
simu,101,17,10,10,20,1,1348
simu,101,17,10,10,20,2,1356
simu,101,17,10,10,20,3,1383
simu,101,17,10,10,20,4,1359
simu,101,17,10,10,20,5,1351
simu,101,17,10,10,20,6,1358
simu,101,17,10,10,20,7,1375
simu,101,17,10,10,20,8,1318
simu,101,17,10,10,20,9,1321
simu,101,17,10,20,0,10,1190
simu,101,17,10,20,0,1,1184
simu,101,17,10,20,0,2,1187
simu,101,17,10,20,0,3,1189
simu,101,17,10,20,0,4,1193
simu,101,17,10,20,0,5,1186
simu,101,17,10,20,0,6,1179
simu,101,17,10,20,0,7,1189
simu,101,17,10,20,0,8,1184
simu,101,17,10,20,0,9,1188
simu,101,17,10,20,10,10,1186
simu,101,17,10,20,10,1,1184
simu,101,17,10,20,10,2,1181
simu,101,17,10,20,10,3,1181
simu,101,17,10,20,10,4,1183
simu,101,17,10,20,10,5,1188
simu,101,17,10,20,10,6,1184
simu,101,17,10,20,10,7,1186
simu,101,17,10,20,10,8,1188
simu,101,17,10,20,10,9,1185
simu,101,17,10,20,20,10,1205
simu,101,17,10,20,20,1,1200
simu,101,17,10,20,20,2,1200
simu,101,17,10,20,20,3,1195
simu,101,17,10,20,20,4,1200
simu,101,17,10,20,20,5,1200
simu,101,17,10,20,20,6,1200
simu,101,17,10,20,20,7,1200
simu,101,17,10,20,20,8,1200
simu,101,17,10,20,20,9,1205
simu,101,17,10,30,0,10,1207
simu,101,17,10,30,0,1,1228
simu,101,17,10,30,0,2,1210
simu,101,17,10,30,0,3,1209
simu,101,17,10,30,0,4,1210
simu,101,17,10,30,0,5,1204
simu,101,17,10,30,0,6,1207
simu,101,17,10,30,0,7,1209
simu,101,17,10,30,0,8,1213
simu,101,17,10,30,0,9,1208
simu,101,17,10,30,10,10,1213
simu,101,17,10,30,10,1,1207
simu,101,17,10,30,10,2,1213
simu,101,17,10,30,10,3,1211
simu,101,17,10,30,10,4,1213
simu,101,17,10,30,10,5,1217
simu,101,17,10,30,10,6,1208
simu,101,17,10,30,10,7,1210
simu,101,17,10,30,10,8,1208
simu,101,17,10,30,10,9,1206
simu,101,17,10,30,20,10,1335
simu,101,17,10,30,20,1,1345
simu,101,17,10,30,20,2,1350
simu,101,17,10,30,20,3,1345
simu,101,17,10,30,20,4,1345
simu,101,17,10,30,20,5,1350
simu,101,17,10,30,20,6,1345
simu,101,17,10,30,20,7,1350
simu,101,17,10,30,20,8,1335
simu,101,17,10,30,20,9,1355
simu,101,17,10,40,0,10,1227
simu,101,17,10,40,0,1,1239
simu,101,17,10,40,0,2,1237
simu,101,17,10,40,0,3,1222
simu,101,17,10,40,0,4,1231
simu,101,17,10,40,0,5,1224
simu,101,17,10,40,0,6,1246
simu,101,17,10,40,0,7,1229
simu,101,17,10,40,0,8,1230
simu,101,17,10,40,0,9,1230
simu,101,17,10,40,10,10,1228
simu,101,17,10,40,10,1,1236
simu,101,17,10,40,10,2,1232
simu,101,17,10,40,10,3,1232
simu,101,17,10,40,10,4,1235
simu,101,17,10,40,10,5,1252
simu,101,17,10,40,10,6,1229
simu,101,17,10,40,10,7,1244
simu,101,17,10,40,10,8,1236
simu,101,17,10,40,10,9,1229
simu,101,17,10,40,20,10,1480
simu,101,17,10,40,20,1,1485
simu,101,17,10,40,20,2,1485
simu,101,17,10,40,20,3,1490
simu,101,17,10,40,20,4,1470
simu,101,17,10,40,20,5,1470
simu,101,17,10,40,20,6,1480
simu,101,17,10,40,20,7,1480
simu,101,17,10,40,20,8,1475
simu,101,17,10,40,20,9,1480
simu,101,33,10,0,0,10,2575
simu,101,33,10,0,0,1,2577
simu,101,33,10,0,0,2,2572
simu,101,33,10,0,0,3,2582
simu,101,33,10,0,0,4,2575
simu,101,33,10,0,0,5,2579
simu,101,33,10,0,0,6,2579
simu,101,33,10,0,0,7,2578
simu,101,33,10,0,0,8,2579
simu,101,33,10,0,0,9,2582
simu,101,33,10,0,10,10,2575
simu,101,33,10,0,10,1,2580
simu,101,33,10,0,10,2,2578
simu,101,33,10,0,10,3,2587
simu,101,33,10,0,10,4,2583
simu,101,33,10,0,10,5,2583
simu,101,33,10,0,10,6,2577
simu,101,33,10,0,10,7,2582
simu,101,33,10,0,10,8,2578
simu,101,33,10,0,10,9,2580
simu,101,33,10,0,20,10,2578
simu,101,33,10,0,20,1,2581
simu,101,33,10,0,20,2,2583
simu,101,33,10,0,20,3,2582
simu,101,33,10,0,20,4,2577
simu,101,33,10,0,20,5,2578
simu,101,33,10,0,20,6,2579
simu,101,33,10,0,20,7,2579
simu,101,33,10,0,20,8,2581
simu,101,33,10,0,20,9,2582
simu,101,33,10,10,0,10,1196
simu,101,33,10,10,0,1,1380
simu,101,33,10,10,0,2,1196
simu,101,33,10,10,0,3,1182
simu,101,33,10,10,0,4,1172
simu,101,33,10,10,0,5,1180
simu,101,33,10,10,0,6,1168
simu,101,33,10,10,0,7,1173
simu,101,33,10,10,0,8,1170
simu,101,33,10,10,0,9,1196
simu,101,33,10,10,10,10,1401
simu,101,33,10,10,10,1,1387
simu,101,33,10,10,10,2,1402
simu,101,33,10,10,10,3,1548
simu,101,33,10,10,10,4,1341
simu,101,33,10,10,10,5,1440
simu,101,33,10,10,10,6,1396
simu,101,33,10,10,10,7,1503
simu,101,33,10,10,10,8,1437
simu,101,33,10,10,10,9,1436
simu,101,33,10,10,20,10,1502
simu,101,33,10,10,20,1,1405
simu,101,33,10,10,20,2,1462
simu,101,33,10,10,20,3,1555
simu,101,33,10,10,20,4,1428
simu,101,33,10,10,20,5,1551
simu,101,33,10,10,20,6,1498
simu,101,33,10,10,20,7,1554
simu,101,33,10,10,20,8,1554
simu,101,33,10,10,20,9,1406
simu,101,33,10,20,0,10,831
simu,101,33,10,20,0,1,868
simu,101,33,10,20,0,2,846
simu,101,33,10,20,0,3,846
simu,101,33,10,20,0,4,878
simu,101,33,10,20,0,5,870
simu,101,33,10,20,0,6,844
simu,101,33,10,20,0,7,856
simu,101,33,10,20,0,8,855
simu,101,33,10,20,0,9,872
simu,101,33,10,20,10,10,878
simu,101,33,10,20,10,1,884
simu,101,33,10,20,10,2,872
simu,101,33,10,20,10,3,880
simu,101,33,10,20,10,4,862
simu,101,33,10,20,10,5,849
simu,101,33,10,20,10,6,880
simu,101,33,10,20,10,7,892
simu,101,33,10,20,10,8,869
simu,101,33,10,20,10,9,891
simu,101,33,10,20,20,10,1185
simu,101,33,10,20,20,1,1170
simu,101,33,10,20,20,2,1180
simu,101,33,10,20,20,3,1165
simu,101,33,10,20,20,4,1175
simu,101,33,10,20,20,5,1155
simu,101,33,10,20,20,6,1195
simu,101,33,10,20,20,7,1155
simu,101,33,10,20,20,8,1170
simu,101,33,10,20,20,9,1155
simu,101,33,10,30,0,10,740
simu,101,33,10,30,0,1,734
simu,101,33,10,30,0,2,729
simu,101,33,10,30,0,3,732
simu,101,33,10,30,0,4,729
simu,101,33,10,30,0,5,739
simu,101,33,10,30,0,6,731
simu,101,33,10,30,0,7,723
simu,101,33,10,30,0,8,729
simu,101,33,10,30,0,9,738
simu,101,33,10,30,10,10,725
simu,101,33,10,30,10,1,722
simu,101,33,10,30,10,2,730
simu,101,33,10,30,10,3,718
simu,101,33,10,30,10,4,734
simu,101,33,10,30,10,5,728
simu,101,33,10,30,10,6,729
simu,101,33,10,30,10,7,722
simu,101,33,10,30,10,8,738
simu,101,33,10,30,10,9,718
simu,101,33,10,30,20,10,1240
simu,101,33,10,30,20,1,1225
simu,101,33,10,30,20,2,1205
simu,101,33,10,30,20,3,1210
simu,101,33,10,30,20,4,1205
simu,101,33,10,30,20,5,1210
simu,101,33,10,30,20,6,1225
simu,101,33,10,30,20,7,1230
simu,101,33,10,30,20,8,1220
simu,101,33,10,30,20,9,1210
simu,101,33,10,40,0,10,712
simu,101,33,10,40,0,1,718
simu,101,33,10,40,0,2,715
simu,101,33,10,40,0,3,734
simu,101,33,10,40,0,4,715
simu,101,33,10,40,0,5,722
simu,101,33,10,40,0,6,725
simu,101,33,10,40,0,7,727
simu,101,33,10,40,0,8,729
simu,101,33,10,40,0,9,723
simu,101,33,10,40,10,10,750
simu,101,33,10,40,10,1,740
simu,101,33,10,40,10,2,750
simu,101,33,10,40,10,3,745
simu,101,33,10,40,10,4,745
simu,101,33,10,40,10,5,750
simu,101,33,10,40,10,6,745
simu,101,33,10,40,10,7,740
simu,101,33,10,40,10,8,750
simu,101,33,10,40,10,9,750
simu,101,33,10,40,20,10,1250
simu,101,33,10,40,20,1,1240
simu,101,33,10,40,20,2,1240
simu,101,33,10,40,20,3,1245
simu,101,33,10,40,20,4,1250
simu,101,33,10,40,20,5,1245
simu,101,33,10,40,20,6,1245
simu,101,33,10,40,20,7,1245
simu,101,33,10,40,20,8,1240
simu,101,33,10,40,20,9,1245
simu,201,17,10,0,0,10,6072
simu,201,17,10,0,0,1,6116
simu,201,17,10,0,0,2,6069
simu,201,17,10,0,0,3,6070
simu,201,17,10,0,0,4,6072
simu,201,17,10,0,0,5,6118
simu,201,17,10,0,0,6,6061
simu,201,17,10,0,0,7,6067
simu,201,17,10,0,0,8,6114
simu,201,17,10,0,0,9,6120
simu,201,17,10,0,10,10,6112
simu,201,17,10,0,10,1,6121
simu,201,17,10,0,10,2,6115
simu,201,17,10,0,10,3,6114
simu,201,17,10,0,10,4,6120
simu,201,17,10,0,10,5,6119
simu,201,17,10,0,10,6,6120
simu,201,17,10,0,10,7,6119
simu,201,17,10,0,10,8,6122
simu,201,17,10,0,10,9,6122
simu,201,17,10,0,20,10,6125
simu,201,17,10,0,20,1,6121
simu,201,17,10,0,20,2,6119
simu,201,17,10,0,20,3,6122
simu,201,17,10,0,20,4,6123
simu,201,17,10,0,20,5,6120
simu,201,17,10,0,20,6,6120
simu,201,17,10,0,20,7,6121
simu,201,17,10,0,20,8,6123
simu,201,17,10,0,20,9,6119
simu,201,17,10,10,0,10,2387
simu,201,17,10,10,0,1,2375
simu,201,17,10,10,0,2,2382
simu,201,17,10,10,0,3,2393
simu,201,17,10,10,0,4,2394
simu,201,17,10,10,0,5,2381
simu,201,17,10,10,0,6,2378
simu,201,17,10,10,0,7,2392
simu,201,17,10,10,0,8,2381
simu,201,17,10,10,0,9,2392
simu,201,17,10,10,10,10,2392
simu,201,17,10,10,10,1,2407
simu,201,17,10,10,10,2,2392
simu,201,17,10,10,10,3,2389
simu,201,17,10,10,10,4,2397
simu,201,17,10,10,10,5,2397
simu,201,17,10,10,10,6,2391
simu,201,17,10,10,10,7,2387
simu,201,17,10,10,10,8,2399
simu,201,17,10,10,10,9,2390
simu,201,17,10,10,20,10,2386
simu,201,17,10,10,20,1,2388
simu,201,17,10,10,20,2,2392
simu,201,17,10,10,20,3,2392
simu,201,17,10,10,20,4,2399
simu,201,17,10,10,20,5,2389
simu,201,17,10,10,20,6,2388
simu,201,17,10,10,20,7,2399
simu,201,17,10,10,20,8,2391
simu,201,17,10,10,20,9,2391
simu,201,17,10,20,0,10,2439
simu,201,17,10,20,0,1,2441
simu,201,17,10,20,0,2,2422
simu,201,17,10,20,0,3,2416
simu,201,17,10,20,0,4,2432
simu,201,17,10,20,0,5,2443
simu,201,17,10,20,0,6,2434
simu,201,17,10,20,0,7,2401
simu,201,17,10,20,0,8,2428
simu,201,17,10,20,0,9,2389
simu,201,17,10,20,10,10,2436
simu,201,17,10,20,10,1,2426
simu,201,17,10,20,10,2,2447
simu,201,17,10,20,10,3,2437
simu,201,17,10,20,10,4,2432
simu,201,17,10,20,10,5,2427
simu,201,17,10,20,10,6,2433
simu,201,17,10,20,10,7,2441
simu,201,17,10,20,10,8,2435
simu,201,17,10,20,10,9,2441
simu,201,17,10,20,20,10,2475
simu,201,17,10,20,20,1,2475
simu,201,17,10,20,20,2,2490
simu,201,17,10,20,20,3,2490
simu,201,17,10,20,20,4,2475
simu,201,17,10,20,20,5,2480
simu,201,17,10,20,20,6,2485
simu,201,17,10,20,20,7,2485
simu,201,17,10,20,20,8,2485
simu,201,17,10,20,20,9,2480
simu,201,17,10,30,0,10,2426
simu,201,17,10,30,0,1,2437
simu,201,17,10,30,0,2,2424
simu,201,17,10,30,0,3,2437
simu,201,17,10,30,0,4,2450
simu,201,17,10,30,0,5,2443
simu,201,17,10,30,0,6,2440
simu,201,17,10,30,0,7,2422
simu,201,17,10,30,0,8,2451
simu,201,17,10,30,0,9,2440
simu,201,17,10,30,10,10,2454
simu,201,17,10,30,10,1,2446
simu,201,17,10,30,10,2,2425
simu,201,17,10,30,10,3,2436
simu,201,17,10,30,10,4,2446
simu,201,17,10,30,10,5,2451
simu,201,17,10,30,10,6,2444
simu,201,17,10,30,10,7,2445
simu,201,17,10,30,10,8,2447
simu,201,17,10,30,10,9,2443
simu,201,17,10,30,20,10,2720
simu,201,17,10,30,20,1,2720
simu,201,17,10,30,20,2,2725
simu,201,17,10,30,20,3,2735
simu,201,17,10,30,20,4,2725
simu,201,17,10,30,20,5,2730
simu,201,17,10,30,20,6,2735
simu,201,17,10,30,20,7,2720
simu,201,17,10,30,20,8,2735
simu,201,17,10,30,20,9,2735
simu,201,17,10,40,0,10,2440
simu,201,17,10,40,0,1,2437
simu,201,17,10,40,0,2,2442
simu,201,17,10,40,0,3,2427
simu,201,17,10,40,0,4,2430
simu,201,17,10,40,0,5,2441
simu,201,17,10,40,0,6,2435
simu,201,17,10,40,0,7,2429
simu,201,17,10,40,0,8,2441
simu,201,17,10,40,0,9,2436
simu,201,17,10,40,10,10,2443
simu,201,17,10,40,10,1,2438
simu,201,17,10,40,10,2,2449
simu,201,17,10,40,10,3,2445
simu,201,17,10,40,10,4,2440
simu,201,17,10,40,10,5,2444
simu,201,17,10,40,10,6,2440
simu,201,17,10,40,10,7,2444
simu,201,17,10,40,10,8,2443
simu,201,17,10,40,10,9,2437
simu,201,17,10,40,20,10,2975
simu,201,17,10,40,20,1,2975
simu,201,17,10,40,20,2,2965
simu,201,17,10,40,20,3,2965
simu,201,17,10,40,20,4,2965
simu,201,17,10,40,20,5,2970
simu,201,17,10,40,20,6,2975
simu,201,17,10,40,20,7,2965
simu,201,17,10,40,20,8,2970
simu,201,17,10,40,20,9,2975
simu,201,33,10,0,0,10,4510
simu,201,33,10,0,0,1,4507
simu,201,33,10,0,0,2,4508
simu,201,33,10,0,0,3,4512
simu,201,33,10,0,0,4,4506
simu,201,33,10,0,0,5,4514
simu,201,33,10,0,0,6,4502
simu,201,33,10,0,0,7,4508
simu,201,33,10,0,0,8,4511
simu,201,33,10,0,0,9,4510
simu,201,33,10,0,10,10,4512
simu,201,33,10,0,10,1,4516
simu,201,33,10,0,10,2,4514
simu,201,33,10,0,10,3,4510
simu,201,33,10,0,10,4,4508
simu,201,33,10,0,10,5,4517
simu,201,33,10,0,10,6,4512
simu,201,33,10,0,10,7,4505
simu,201,33,10,0,10,8,4510
simu,201,33,10,0,10,9,4505
simu,201,33,10,0,20,10,4511
simu,201,33,10,0,20,1,4510
simu,201,33,10,0,20,2,4511
simu,201,33,10,0,20,3,4519
simu,201,33,10,0,20,4,4506
simu,201,33,10,0,20,5,4513
simu,201,33,10,0,20,6,4508
simu,201,33,10,0,20,7,4516
simu,201,33,10,0,20,8,4513
simu,201,33,10,0,20,9,4504
simu,201,33,10,10,0,10,1494
simu,201,33,10,10,0,1,1531
simu,201,33,10,10,0,2,1545
simu,201,33,10,10,0,3,1535
simu,201,33,10,10,0,4,1550
simu,201,33,10,10,0,5,1533
simu,201,33,10,10,0,6,1528
simu,201,33,10,10,0,7,1531
simu,201,33,10,10,0,8,1496
simu,201,33,10,10,0,9,1522
simu,201,33,10,10,10,10,1523
simu,201,33,10,10,10,1,1516
simu,201,33,10,10,10,2,1529
simu,201,33,10,10,10,3,1532
simu,201,33,10,10,10,4,1535
simu,201,33,10,10,10,5,1505
simu,201,33,10,10,10,6,1544
simu,201,33,10,10,10,7,1507
simu,201,33,10,10,10,8,1540
simu,201,33,10,10,10,9,1493
simu,201,33,10,10,20,10,2165
simu,201,33,10,10,20,1,2155
simu,201,33,10,10,20,2,2185
simu,201,33,10,10,20,3,2195
simu,201,33,10,10,20,4,2180
simu,201,33,10,10,20,5,2190
simu,201,33,10,10,20,6,2175
simu,201,33,10,10,20,7,2180
simu,201,33,10,10,20,8,2165
simu,201,33,10,10,20,9,2180
simu,201,33,10,20,0,10,1373
simu,201,33,10,20,0,1,1375
simu,201,33,10,20,0,2,1368
simu,201,33,10,20,0,3,1384
simu,201,33,10,20,0,4,1365
simu,201,33,10,20,0,5,1381
simu,201,33,10,20,0,6,1357
simu,201,33,10,20,0,7,1372
simu,201,33,10,20,0,8,1376
simu,201,33,10,20,0,9,1369
simu,201,33,10,20,10,10,1359
simu,201,33,10,20,10,1,1362
simu,201,33,10,20,10,2,1363
simu,201,33,10,20,10,3,1355
simu,201,33,10,20,10,4,1371
simu,201,33,10,20,10,5,1363
simu,201,33,10,20,10,6,1350
simu,201,33,10,20,10,7,1366
simu,201,33,10,20,10,8,1365
simu,201,33,10,20,10,9,1364
simu,201,33,10,20,20,10,2245
simu,201,33,10,20,20,1,2245
simu,201,33,10,20,20,2,2240
simu,201,33,10,20,20,3,2245
simu,201,33,10,20,20,4,2240
simu,201,33,10,20,20,5,2250
simu,201,33,10,20,20,6,2245
simu,201,33,10,20,20,7,2245
simu,201,33,10,20,20,8,2245
simu,201,33,10,20,20,9,2240
simu,201,33,10,30,0,10,1404
simu,201,33,10,30,0,1,1412
simu,201,33,10,30,0,2,1401
simu,201,33,10,30,0,3,1406
simu,201,33,10,30,0,4,1405
simu,201,33,10,30,0,5,1405
simu,201,33,10,30,0,6,1409
simu,201,33,10,30,0,7,1403
simu,201,33,10,30,0,8,1403
simu,201,33,10,30,0,9,1407
simu,201,33,10,30,10,10,1400
simu,201,33,10,30,10,1,1404
simu,201,33,10,30,10,2,1391
simu,201,33,10,30,10,3,1398
simu,201,33,10,30,10,4,1390
simu,201,33,10,30,10,5,1400
simu,201,33,10,30,10,6,1395
simu,201,33,10,30,10,7,1401
simu,201,33,10,30,10,8,1405
simu,201,33,10,30,10,9,1400
simu,201,33,10,30,20,10,2385
simu,201,33,10,30,20,1,2385
simu,201,33,10,30,20,2,2395
simu,201,33,10,30,20,3,2395
simu,201,33,10,30,20,4,2400
simu,201,33,10,30,20,5,2385
simu,201,33,10,30,20,6,2390
simu,201,33,10,30,20,7,2400
simu,201,33,10,30,20,8,2390
simu,201,33,10,30,20,9,2400
simu,201,33,10,40,0,10,1410
simu,201,33,10,40,0,1,1411
simu,201,33,10,40,0,2,1414
simu,201,33,10,40,0,3,1411
simu,201,33,10,40,0,4,1407
simu,201,33,10,40,0,5,1417
simu,201,33,10,40,0,6,1408
simu,201,33,10,40,0,7,1407
simu,201,33,10,40,0,8,1403
simu,201,33,10,40,0,9,1414
simu,201,33,10,40,10,10,1515
simu,201,33,10,40,10,1,1525
simu,201,33,10,40,10,2,1515
simu,201,33,10,40,10,3,1515
simu,201,33,10,40,10,4,1515
simu,201,33,10,40,10,5,1510
simu,201,33,10,40,10,6,1515
simu,201,33,10,40,10,7,1515
simu,201,33,10,40,10,8,1505
simu,201,33,10,40,10,9,1515
simu,201,33,10,40,20,10,2520
simu,201,33,10,40,20,1,2520
simu,201,33,10,40,20,2,2520
simu,201,33,10,40,20,3,2510
simu,201,33,10,40,20,4,2510
simu,201,33,10,40,20,5,2505
simu,201,33,10,40,20,6,2510
simu,201,33,10,40,20,7,2515
simu,201,33,10,40,20,8,2510
simu,201,33,10,40,20,9,2505
simu2,101,17,10,0,0,10,3320
simu2,101,17,10,0,0,1,3273
simu2,101,17,10,0,0,2,3272
simu2,101,17,10,0,0,3,3264
simu2,101,17,10,0,0,4,3311
simu2,101,17,10,0,0,5,3270
simu2,101,17,10,0,0,6,3319
simu2,101,17,10,0,0,7,3319
simu2,101,17,10,0,0,8,3274
simu2,101,17,10,0,0,9,3318
